"address","parcel_id","latitude","longitude"
"25B PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2522",42.696285,-73.85788857169572
"25B PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2525",42.696285,-73.85788857169572
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2532",42.6960096,-73.85741959999999
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2536",42.6960096,-73.85741959999999
"25C PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2537",42.6960096,-73.85741959999999
"25D PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2545",42.695926299999996,-73.85695207850245
"25D PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2547",42.695926299999996,-73.85695207850245
"25E PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2553",42.69633825,-73.85742801642921
"25E PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2555",42.69633825,-73.85742801642921
"25E PINE LN - PINE LN, Albany, NY, 12203","52.6-2-9.-2557",42.69633825,-73.85742801642921
"141 WOODLAWN AVE, Albany, NY, 12208","64.84-4-11",42.655969850000005,-73.78767661576597
"46 HOLMES CT, Albany, NY, 12209","75.67-1-27",42.6405704,-73.79295855000001
"171 JEFFERSON ST, Albany, NY, 12210","76.32-4-48",42.650808100000006,-73.76561054755268
"112 BENSON ST, Albany, NY, 12206","65.45-3-21",42.66696195,-73.77975531089157
"48 CARDINAL AVE, Albany, NY, 12208","75.34-1-35",42.65243425,-73.79785064558439
"14 GINGERBREAD LN, Albany, NY, 12208","75.24-2-29",42.6530465,-73.8098419242026
"131 SHAKER RD, Albany, NY, 12211","65.7-3-6",42.675827299999995,-73.7544838472441
"122 VAN SCHOICK AVE, Albany, NY, 12209","75.41-1-53",42.64919055,-73.80208868266949
"51 RAYMO ST, Albany, NY, 12209","76.62-2-49",42.6410977,-73.77558455221671
"129 GREEN ST, Albany, NY, 12202","76.58-1-36.-41",42.6436533,-73.753628
"175 BROAD ST, Albany, NY, 12202","76.72-2-47",42.63646115,-73.76183139122921
"105 ALEXANDER ST, Albany, NY, 12202","76.64-1-39",42.64132805,-73.763408
"301 SHERIDAN AVE, Albany, NY, 12206","65.72-1-35",42.6604299,-73.7635482
"7 LIEBEL ST, Albany, NY, 12202","76.72-4-40",42.63817475,-73.76539795
"79 THIRD AVE, Albany, NY, 12202","76.64-2-57",42.64012595,-73.76222578296407
"365 MOUNTAIN ST, Albany, NY, 12209","75.76-4-38",42.636243750000006,-73.7835534067958
"24 GAGE AVE, Albany, NY, 12203","64.45-1-40",42.66912925,-73.82469063773243
"84 ONTARIO ST, Albany, NY, 12206","65.46-4-4",42.6690796,-73.77299070413622
"63 O'CONNELL ST, Albany, NY, 12209","76.62-3-75",42.641397684210524,-73.77472294736843
"1 ODELL ST, Albany, NY, 12202","76.72-3-55",42.6371835,-73.7642951364618
"47 BUELL ST, Albany, NY, 12206","53.82-2-18",42.67872075,-73.79391394022178
"31 BUELL ST, Albany, NY, 12206","53.82-2-10",42.67780205,-73.79488507999916
"35 BUELL ST, Albany, NY, 12206","53.82-2-12",42.6780227,-73.79465135287147
"35 MERELINE AVE, Albany, NY, 12209","75.75-2-31",42.639009650000006,-73.79136869999999
"32 KEELER DR, Albany, NY, 12208","75.40-1-30",42.64976155,-73.8061319584497
"11 JASE CT, Albany, NY, 12208","75.32-1-56",42.6511708,-73.80588409213863
"23 JASE CT, Albany, NY, 12208","75.32-1-62",42.65183555,-73.80522508226198
"9 KEELER DR, Albany, NY, 12208","75.32-1-21",42.65075105,-73.80760225471661
"5 JASE CT, Albany, NY, 12208","75.32-1-53",42.650830049999996,-73.80619530012979
"42 GLENDALE AVE, Albany, NY, 12208","75.36-1-25",42.6507891,-73.78816745
"114 BERKSHIRE BLVD, Albany, NY, 12203","64.47-1-34",42.667741500000005,-73.81351360000001
